cut 136731
Node 1: 0
Node 2: 0
Node 3: 0
Node 4: 0
Node 5: 0
Node 6: 0
Node 7: 0
Node 8: 0
Node 9: 0
Node 10: 0
Node 11: 0
Node 12: 0
Node 13: 0
Node 14: 0
Node 15: 0
Node 16: 0
Node 17: 0
Node 18: 0
Node 19: 0
Node 20: 0
Node 21: 0
Node 22: 0
Node 23: 0
Node 24: 0
Node 25: 0
Node 26: 0
Node 27: 0
Node 28: 0
Node 29: 0
Node 30: 0
Node 31: 0
Node 32: 0
Node 33: 0
Node 34: 0
Node 35: 0
Node 36: 0
Node 37: 0
Node 38: 0
Node 39: 0
Node 40: 0
Node 41: 0
Node 42: 0
Node 43: 0
Node 44: 0
Node 45: 0
Node 46: 0
Node 47: 0
Node 48: 0
Node 49: 0
Node 50: 0
Node 51: 0
Node 52: 0
Node 53: 0
Node 54: 0
Node 55: 0
Node 56: 0
Node 57: 0
Node 58: 0
Node 59: 0
Node 60: 0
Node 61: 0
Node 62: 0
Node 63: 0
Node 64: 0
Node 65: 0
Node 66: 0
Node 67: 0
Node 68: 0
Node 69: 0
Node 70: 0
Node 71: 0
Node 72: 0
Node 73: 0
Node 74: 0
Node 75: 0
Node 76: 0
Node 77: 0
Node 78: 0
Node 79: 0
Node 80: 0
Node 81: 0
Node 82: 0
Node 83: 0
Node 84: 0
Node 85: 0
Node 86: 0
Node 87: 0
Node 88: 0
Node 89: 0
Node 90: 0
Node 91: 0
Node 92: 0
Node 93: 0
Node 94: 0
Node 95: 0
Node 96: 0
Node 97: 0
Node 98: 0
Node 99: 0
Node 100: 0
Node 101: 0
Node 102: 0
Node 103: 0
Node 104: 0
Node 105: 0
Node 106: 0
Node 107: 0
Node 108: 0
Node 109: 0
Node 110: 0
Node 111: 0
Node 112: 0
Node 113: 0
Node 114: 0
Node 115: 0
Node 116: 0
Node 117: 0
Node 118: 0
Node 119: 0
Node 120: 0
Node 121: 0
Node 122: 0
Node 123: 0
Node 124: 0
Node 125: 0
Node 126: 0
Node 127: 0
Node 128: 0
Node 129: 0
Node 130: 0
Node 131: 0
Node 132: 0
Node 133: 0
Node 134: 0
Node 135: 0
Node 136: 0
Node 137: 0
Node 138: 0
Node 139: 0
Node 140: 0
Node 141: 0
Node 142: 0
Node 143: 0
Node 144: 0
Node 145: 0
Node 146: 0
Node 147: 0
Node 148: 0
Node 149: 0
Node 150: 0
Node 151: 0
Node 152: 0
Node 153: 0
Node 154: 0
Node 155: 0
Node 156: 0
Node 157: 0
Node 158: 0
Node 159: 0
Node 160: 0
Node 161: 0
Node 162: 0
Node 163: 0
Node 164: 0
Node 165: 0
Node 166: 0
Node 167: 0
Node 168: 0
Node 169: 0
Node 170: 0
Node 171: 0
Node 172: 0
Node 173: 0
Node 174: 0
Node 175: 0
Node 176: 0
Node 177: 0
Node 178: 0
Node 179: 0
Node 180: 0
Node 181: 0
Node 182: 0
Node 183: 0
Node 184: 0
Node 185: 0
Node 186: 0
Node 187: 0
Node 188: 0
Node 189: 0
Node 190: 0
Node 191: 0
Node 192: 0
Node 193: 0
Node 194: 0
Node 195: 0
Node 196: 0
Node 197: 0
Node 198: 0
Node 199: 0
Node 200: 0
Node 201: 0
Node 202: 0
Node 203: 0
Node 204: 0
Node 205: 0
Node 206: 0
Node 207: 0
Node 208: 0
Node 209: 0
Node 210: 0
Node 211: 0
Node 212: 0
Node 213: 0
Node 214: 0
Node 215: 0
Node 216: 0
Node 217: 0
Node 218: 0
Node 219: 0
Node 220: 0
Node 221: 0
Node 222: 0
Node 223: 0
Node 224: 0
Node 225: 0
Node 226: 0
Node 227: 0
Node 228: 0
Node 229: 0
Node 230: 0
Node 231: 0
Node 232: 0
Node 233: 0
Node 234: 0
Node 235: 0
Node 236: 0
Node 237: 0
Node 238: 0
Node 239: 0
Node 240: 0
Node 241: 0
Node 242: 0
Node 243: 0
Node 244: 0
Node 245: 0
Node 246: 0
Node 247: 0
Node 248: 0
Node 249: 0
Node 250: 0
Node 251: 0
Node 252: 0
Node 253: 0
Node 254: 0
Node 255: 0
Node 256: 0
Node 257: 0
Node 258: 0
Node 259: 0
Node 260: 0
Node 261: 0
Node 262: 0
Node 263: 0
Node 264: 0
Node 265: 0
Node 266: 0
Node 267: 0
Node 268: 0
Node 269: 0
Node 270: 0
Node 271: 0
Node 272: 0
Node 273: 0
Node 274: 0
Node 275: 0
Node 276: 0
Node 277: 0
Node 278: 0
Node 279: 0
Node 280: 0
Node 281: 0
Node 282: 0
Node 283: 0
Node 284: 0
Node 285: 0
Node 286: 0
Node 287: 0
Node 288: 0
Node 289: 0
Node 290: 0
Node 291: 0
Node 292: 0
Node 293: 0
Node 294: 0
Node 295: 0
Node 296: 0
Node 297: 0
Node 298: 0
Node 299: 0
Node 300: 0
Node 301: 0
Node 302: 0
Node 303: 0
Node 304: 0
Node 305: 0
Node 306: 0
Node 307: 0
Node 308: 0
Node 309: 0
Node 310: 0
Node 311: 0
Node 312: 0
Node 313: 0
Node 314: 0
Node 315: 0
Node 316: 0
Node 317: 0
Node 318: 0
Node 319: 0
Node 320: 0
Node 321: 0
Node 322: 0
Node 323: 0
Node 324: 0
Node 325: 0
Node 326: 0
Node 327: 0
Node 328: 0
Node 329: 0
Node 330: 0
Node 331: 0
Node 332: 0
Node 333: 0
Node 334: 0
Node 335: 0
Node 336: 0
Node 337: 0
Node 338: 0
Node 339: 0
Node 340: 0
Node 341: 0
Node 342: 0
Node 343: 0
Node 344: 0
Node 345: 0
Node 346: 0
Node 347: 0
Node 348: 0
Node 349: 0
Node 350: 0
Node 351: 0
Node 352: 0
Node 353: 0
Node 354: 0
Node 355: 0
Node 356: 0
Node 357: 0
Node 358: 0
Node 359: 0
Node 360: 0
Node 361: 0
Node 362: 0
Node 363: 0
Node 364: 0
Node 365: 0
Node 366: 0
Node 367: 0
Node 368: 0
Node 369: 0
Node 370: 0
Node 371: 0
Node 372: 0
Node 373: 0
Node 374: 0
Node 375: 0
Node 376: 0
Node 377: 0
Node 378: 0
Node 379: 0
Node 380: 0
Node 381: 0
Node 382: 0
Node 383: 0
Node 384: 0
Node 385: 0
Node 386: 0
Node 387: 0
Node 388: 0
Node 389: 0
Node 390: 0
Node 391: 0
Node 392: 0
Node 393: 0
Node 394: 0
Node 395: 0
Node 396: 0
Node 397: 0
Node 398: 0
Node 399: 0
Node 400: 0
Node 401: 0
Node 402: 0
Node 403: 0
Node 404: 0
Node 405: 0
Node 406: 0
Node 407: 0
Node 408: 0
Node 409: 0
Node 410: 0
Node 411: 0
Node 412: 0
Node 413: 0
Node 414: 0
Node 415: 0
Node 416: 0
Node 417: 0
Node 418: 0
Node 419: 0
Node 420: 0
Node 421: 0
Node 422: 0
Node 423: 0
Node 424: 0
Node 425: 0
Node 426: 0
Node 427: 0
Node 428: 0
Node 429: 0
Node 430: 0
Node 431: 0
Node 432: 0
Node 433: 0
Node 434: 0
Node 435: 0
Node 436: 0
Node 437: 0
Node 438: 0
Node 439: 0
Node 440: 0
Node 441: 0
Node 442: 0
Node 443: 0
Node 444: 0
Node 445: 0
Node 446: 0
Node 447: 0
Node 448: 0
Node 449: 0
Node 450: 0
Node 451: 0
Node 452: 0
Node 453: 0
Node 454: 0
Node 455: 0
Node 456: 0
Node 457: 0
Node 458: 0
Node 459: 0
Node 460: 0
Node 461: 0
Node 462: 0
Node 463: 0
Node 464: 0
Node 465: 0
Node 466: 0
Node 467: 0
Node 468: 0
Node 469: 0
Node 470: 0
Node 471: 0
Node 472: 0
Node 473: 0
Node 474: 0
Node 475: 0
Node 476: 0
Node 477: 0
Node 478: 0
Node 479: 0
Node 480: 0
Node 481: 0
Node 482: 0
Node 483: 0
Node 484: 0
Node 485: 0
Node 486: 0
Node 487: 0
Node 488: 0
Node 489: 0
Node 490: 0
Node 491: 0
Node 492: 0
Node 493: 0
Node 494: 0
Node 495: 0
Node 496: 0
Node 497: 0
Node 498: 0
Node 499: 0
Node 500: 0
Node 501: 0
Node 502: 0
Node 503: 0
Node 504: 0
Node 505: 0
Node 506: 0
Node 507: 0
Node 508: 0
Node 509: 0
Node 510: 0
Node 511: 0
Node 512: 0
Node 513: 0
Node 514: 0
Node 515: 0
Node 516: 0
Node 517: 0
Node 518: 0
Node 519: 0
Node 520: 0
Node 521: 0
Node 522: 0
Node 523: 0
Node 524: 0
Node 525: 0
Node 526: 0
Node 527: 0
Node 528: 0
Node 529: 0
Node 530: 0
Node 531: 0
Node 532: 0
Node 533: 0
Node 534: 0
Node 535: 0
Node 536: 0
Node 537: 0
Node 538: 0
Node 539: 0
Node 540: 0
Node 541: 0
Node 542: 0
Node 543: 0
Node 544: 0
Node 545: 0
Node 546: 0
Node 547: 0
Node 548: 0
Node 549: 0
Node 550: 0
Node 551: 0
Node 552: 0
Node 553: 0
Node 554: 0
Node 555: 0
Node 556: 0
Node 557: 0
Node 558: 0
Node 559: 0
Node 560: 0
Node 561: 0
Node 562: 0
Node 563: 0
Node 564: 0
Node 565: 0
Node 566: 0
Node 567: 0
Node 568: 0
Node 569: 0
Node 570: 0
Node 571: 0
Node 572: 0
Node 573: 0
Node 574: 0
Node 575: 0
Node 576: 0
Node 577: 0
Node 578: 0
Node 579: 0
Node 580: 0
Node 581: 0
Node 582: 0
Node 583: 0
Node 584: 0
Node 585: 0
Node 586: 0
Node 587: 0
Node 588: 0
Node 589: 0
Node 590: 0
Node 591: 0
Node 592: 0
Node 593: 0
Node 594: 0
Node 595: 0
Node 596: 0
Node 597: 0
Node 598: 0
Node 599: 0
Node 600: 0
Node 601: 0
Node 602: 0
Node 603: 0
Node 604: 0
Node 605: 0
Node 606: 0
Node 607: 0
Node 608: 0
Node 609: 0
Node 610: 0
Node 611: 0
Node 612: 0
Node 613: 0
Node 614: 0
Node 615: 0
Node 616: 0
Node 617: 0
Node 618: 0
Node 619: 0
Node 620: 0
Node 621: 0
Node 622: 0
Node 623: 0
Node 624: 0
Node 625: 0
Node 626: 0
Node 627: 0
Node 628: 0
Node 629: 0
Node 630: 0
Node 631: 0
Node 632: 0
Node 633: 0
Node 634: 0
Node 635: 0
Node 636: 0
Node 637: 0
Node 638: 0
Node 639: 0
Node 640: 0
Node 641: 0
Node 642: 0
Node 643: 0
Node 644: 0
Node 645: 0
Node 646: 0
Node 647: 0
Node 648: 0
Node 649: 0
Node 650: 0
Node 651: 0
Node 652: 0
Node 653: 0
Node 654: 0
Node 655: 0
Node 656: 0
Node 657: 0
Node 658: 0
Node 659: 0
Node 660: 0
Node 661: 0
Node 662: 0
Node 663: 0
Node 664: 0
Node 665: 0
Node 666: 0
Node 667: 0
Node 668: 0
Node 669: 0
Node 670: 0
Node 671: 0
Node 672: 0
Node 673: 0
Node 674: 0
Node 675: 0
Node 676: 0
Node 677: 0
Node 678: 0
Node 679: 0
Node 680: 0
Node 681: 0
Node 682: 0
Node 683: 0
Node 684: 0
Node 685: 0
Node 686: 0
Node 687: 0
Node 688: 0
Node 689: 0
Node 690: 0
Node 691: 0
Node 692: 0
Node 693: 0
Node 694: 0
Node 695: 0
